variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.2,Traveler weight,Change IDR,0,0.001,31,31.4785
Omicron BA.2,Traveler weight,Change IDR,0,0.01,24,24.0439
Omicron BA.2,Traveler weight,Change IDR,0,0.1,18,18.4941
Omicron BA.2,Traveler weight,Change IDR,0,0.5,18,18.4814
Omicron BA.2,Traveler weight,Change IDR,0,1,18,18.4814
Omicron BA.2,Traveler weight,Change IDR,0,1.5,18,18.4814
Omicron BA.2,Traveler weight,Change IDR,0,2,18,18.4814
Omicron BA.2,Traveler weight,Change IDR,0.001,0.001,31,31.4785
Omicron BA.2,Traveler weight,Change IDR,0.001,0.01,24,24.0518
Omicron BA.2,Traveler weight,Change IDR,0.001,0.1,18,18.4961
Omicron BA.2,Traveler weight,Change IDR,0.001,0.5,18,18.4834
Omicron BA.2,Traveler weight,Change IDR,0.001,1,18,18.4834
Omicron BA.2,Traveler weight,Change IDR,0.001,1.5,18,18.4834
Omicron BA.2,Traveler weight,Change IDR,0.001,2,18,18.4834
Omicron BA.2,Traveler weight,Change IDR,0.01,0.001,31,31.5176
Omicron BA.2,Traveler weight,Change IDR,0.01,0.01,24,24.0811
Omicron BA.2,Traveler weight,Change IDR,0.01,0.1,18,18.5352
Omicron BA.2,Traveler weight,Change IDR,0.01,0.5,18,18.5225
Omicron BA.2,Traveler weight,Change IDR,0.01,1,18,18.5225
Omicron BA.2,Traveler weight,Change IDR,0.01,1.5,18,18.5225
Omicron BA.2,Traveler weight,Change IDR,0.01,2,18,18.5225
Omicron BA.2,Traveler weight,Change IDR,0.1,0.001,31,31.9336
Omicron BA.2,Traveler weight,Change IDR,0.1,0.01,24,22.6152
Omicron BA.2,Traveler weight,Change IDR,0.1,0.1,18,17.8359
Omicron BA.2,Traveler weight,Change IDR,0.1,0.5,18,17.8252
Omicron BA.2,Traveler weight,Change IDR,0.1,1,18,17.8252
Omicron BA.2,Traveler weight,Change IDR,0.1,1.5,18,17.8252
Omicron BA.2,Traveler weight,Change IDR,0.1,2,18,17.8252
Omicron BA.2,Traveler weight,Change IDR,0.3,0.001,31,31.9023
Omicron BA.2,Traveler weight,Change IDR,0.3,0.01,15,16.1797
Omicron BA.2,Traveler weight,Change IDR,0.3,0.1,13,12.793
Omicron BA.2,Traveler weight,Change IDR,0.3,0.5,13,12.7871
Omicron BA.2,Traveler weight,Change IDR,0.3,1,13,12.7871
Omicron BA.2,Traveler weight,Change IDR,0.3,1.5,13,12.7871
Omicron BA.2,Traveler weight,Change IDR,0.3,2,13,12.7871
Omicron BA.2,Traveler weight,Change IDR,0.5,0.001,31,31.4219
Omicron BA.2,Traveler weight,Change IDR,0.5,0.01,12,12.2871
Omicron BA.2,Traveler weight,Change IDR,0.5,0.1,9,10.2891
Omicron BA.2,Traveler weight,Change IDR,0.5,0.5,9,10.2891
Omicron BA.2,Traveler weight,Change IDR,0.5,1,9,10.2891
Omicron BA.2,Traveler weight,Change IDR,0.5,1.5,9,10.2891
Omicron BA.2,Traveler weight,Change IDR,0.5,2,9,10.2891
Omicron BA.2,Traveler weight,Change IDR,0.7,0.001,30,30.5625
Omicron BA.2,Traveler weight,Change IDR,0.7,0.01,10,10.5586
Omicron BA.2,Traveler weight,Change IDR,0.7,0.1,9,9.8203
Omicron BA.2,Traveler weight,Change IDR,0.7,0.5,9,9.8203
Omicron BA.2,Traveler weight,Change IDR,0.7,1,9,9.8203
Omicron BA.2,Traveler weight,Change IDR,0.7,1.5,9,9.8203
Omicron BA.2,Traveler weight,Change IDR,0.7,2,9,9.8203
Omicron BA.2,Traveler weight,Change IDR,0.9,0.001,26,29.3926
Omicron BA.2,Traveler weight,Change IDR,0.9,0.01,9,10.293
Omicron BA.2,Traveler weight,Change IDR,0.9,0.1,9,9.749
Omicron BA.2,Traveler weight,Change IDR,0.9,0.5,9,9.7373
Omicron BA.2,Traveler weight,Change IDR,0.9,1,9,9.7373
Omicron BA.2,Traveler weight,Change IDR,0.9,1.5,9,9.7373
Omicron BA.2,Traveler weight,Change IDR,0.9,2,9,9.7373
Omicron BA.2,Traveler weight,Change IDR,0.99,0.001,25,28.4902
Omicron BA.2,Traveler weight,Change IDR,0.99,0.01,9,10.0859
Omicron BA.2,Traveler weight,Change IDR,0.99,0.1,9,9.6406
Omicron BA.2,Traveler weight,Change IDR,0.99,0.5,9,9.6299
Omicron BA.2,Traveler weight,Change IDR,0.99,1,9,9.6299
Omicron BA.2,Traveler weight,Change IDR,0.99,1.5,9,9.6299
Omicron BA.2,Traveler weight,Change IDR,0.99,2,9,9.6299
Omicron BA.2,Traveler weight,Change IDR,1,0.001,25,28.3965
Omicron BA.2,Traveler weight,Change IDR,1,0.01,9,10.0547
Omicron BA.2,Traveler weight,Change IDR,1,0.1,9,9.6328
Omicron BA.2,Traveler weight,Change IDR,1,0.5,9,9.6221
Omicron BA.2,Traveler weight,Change IDR,1,1,9,9.6221
Omicron BA.2,Traveler weight,Change IDR,1,1.5,9,9.6221
Omicron BA.2,Traveler weight,Change IDR,1,2,9,9.6221
