variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.2,Change IDR,Change DSR,0.001,0.001,59,62.0217
Omicron BA.2,Change IDR,Change DSR,0.001,0.01,44,45.2363
Omicron BA.2,Change IDR,Change DSR,0.001,0.1,31,31.5898
Omicron BA.2,Change IDR,Change DSR,0.001,0.5,31,31.4785
Omicron BA.2,Change IDR,Change DSR,0.001,1,31,31.4785
Omicron BA.2,Change IDR,Change DSR,0.001,1.5,31,31.4785
Omicron BA.2,Change IDR,Change DSR,0.001,2,31,31.4785
Omicron BA.2,Change IDR,Change DSR,0.01,0.001,59,62.0217
Omicron BA.2,Change IDR,Change DSR,0.01,0.01,44,45.1973
Omicron BA.2,Change IDR,Change DSR,0.01,0.1,29,29.041
Omicron BA.2,Change IDR,Change DSR,0.01,0.5,24,24.0625
Omicron BA.2,Change IDR,Change DSR,0.01,1,24,24.0117
Omicron BA.2,Change IDR,Change DSR,0.01,1.5,24,24.0117
Omicron BA.2,Change IDR,Change DSR,0.01,2,24,24.0117
Omicron BA.2,Change IDR,Change DSR,0.1,0.001,59,62.0217
Omicron BA.2,Change IDR,Change DSR,0.1,0.01,44,45.1973
Omicron BA.2,Change IDR,Change DSR,0.1,0.1,29,28.9961
Omicron BA.2,Change IDR,Change DSR,0.1,0.5,21,21.5723
Omicron BA.2,Change IDR,Change DSR,0.1,1,18,18.4863
Omicron BA.2,Change IDR,Change DSR,0.1,1.5,18,17.1992
Omicron BA.2,Change IDR,Change DSR,0.1,2,18,17.0117
Omicron BA.2,Change IDR,Change DSR,0.5,0.001,59,62.0217
Omicron BA.2,Change IDR,Change DSR,0.5,0.01,44,45.1973
Omicron BA.2,Change IDR,Change DSR,0.5,0.1,29,28.9961
Omicron BA.2,Change IDR,Change DSR,0.5,0.5,21,21.5723
Omicron BA.2,Change IDR,Change DSR,0.5,1,18,18.4863
Omicron BA.2,Change IDR,Change DSR,0.5,1.5,17,16.7852
Omicron BA.2,Change IDR,Change DSR,0.5,2,15,15.5762
Omicron BA.2,Change IDR,Change DSR,1,0.001,59,62.0217
Omicron BA.2,Change IDR,Change DSR,1,0.01,44,45.1973
Omicron BA.2,Change IDR,Change DSR,1,0.1,29,28.9961
Omicron BA.2,Change IDR,Change DSR,1,0.5,21,21.5723
Omicron BA.2,Change IDR,Change DSR,1,1,18,18.4863
Omicron BA.2,Change IDR,Change DSR,1,1.5,17,16.7852
Omicron BA.2,Change IDR,Change DSR,1,2,15,15.5762
Omicron BA.2,Change IDR,Change DSR,1.5,0.001,59,62.0217
Omicron BA.2,Change IDR,Change DSR,1.5,0.01,44,45.1973
Omicron BA.2,Change IDR,Change DSR,1.5,0.1,29,28.9961
Omicron BA.2,Change IDR,Change DSR,1.5,0.5,21,21.5723
Omicron BA.2,Change IDR,Change DSR,1.5,1,18,18.4863
Omicron BA.2,Change IDR,Change DSR,1.5,1.5,17,16.7852
Omicron BA.2,Change IDR,Change DSR,1.5,2,15,15.5762
Omicron BA.2,Change IDR,Change DSR,2,0.001,59,62.0217
Omicron BA.2,Change IDR,Change DSR,2,0.01,44,45.1973
Omicron BA.2,Change IDR,Change DSR,2,0.1,29,28.9961
Omicron BA.2,Change IDR,Change DSR,2,0.5,21,21.5723
Omicron BA.2,Change IDR,Change DSR,2,1,18,18.4863
Omicron BA.2,Change IDR,Change DSR,2,1.5,17,16.7852
Omicron BA.2,Change IDR,Change DSR,2,2,15,15.5762
